location_id,division,longitude,latitude,dist_to_main_road,population_density,student_density,nearest_school_name,school_distance,nearest_police_station,police_distance,nearest_hospital_name,hospital_distance,nearest_city_name,city_distance,annual_precipitation,avg_high_temp,sunshine_hours
lcn_087,wellawaya,6.72437295,81.11139014,1100,104.1,36.476603119584055,Mahawelamulla Muslim Maha vidyalaya,0.19714715289095153,Wellawaya Police Station,1.518612608450898,Handapanagala Divisional Hospital,1.330104443012618,Wellawaya town,1.0674106312439635,386.04,26.49,10.6
lcn_088,wellawaya,6.732652424,81.12688711,16,104.1,36.476603119584055,Gampanguwa Junior School,1.0274351327304574,Wellawaya Police Station,3.226606903665243,Handapanagala Divisional Hospital,1.8129087399147517,Wellawaya town,2.789803468402613,386.04,26.49,10.6
lcn_089,wellawaya,6.726875676,81.10145622,350,104.1,36.476603119584055,Wellawaya Kumaradasa M.V.,0.5268392287607986,Wellawaya Police Station,0.44902207139906214,Wellawaya Base Hospital,0.3554232595544203,Wellawaya town,0.10151752726348434,386.04,26.49,10.6
lcn_090,wellawaya,6.732993459,81.09353642,280,104.1,36.476603119584055,Wellawaya Kumaradasa M.V.,0.8145044085357797,Wellawaya Police Station,0.5161410060743685,Wellawaya Base Hospital,0.5376048293030881,Wellawaya town,0.9345532556184112,386.04,26.49,10.6
lcn_091,wellawaya,6.717584889,81.10674112,200,104.1,36.476603119584055,Yalabowa Primary School,0.09653341434315124,Wellawaya Police Station,1.0505218116147046,Wellawaya Base Hospital,0.9666314107930988,Wellawaya town,0.5946730446235079,386.04,26.49,10.6
lcn_092,wellawaya,6.732159054,81.11551742,140,104.1,36.476603119584055,Malwaththawala National School,0.05422167102082358,Wellawaya Police Station,1.95935485482115,Handapanagala Divisional Hospital,1.3548153822508648,Wellawaya town,1.5201626911075066,386.04,26.49,10.6
lcn_093,wellawaya,6.732212144,81.11191429,120,104.1,36.476603119584055,Mahawelamulla Muslim Maha vidyalaya,0.3083060165425831,Wellawaya Police Station,1.5582393016020983,Handapanagala Divisional Hospital,1.4346312815339168,Wellawaya town,1.117815618284567,386.04,26.49,10.6
lcn_094,wellawaya,6.736620117,81.1001566,70,104.1,36.476603119584055,Wellawaya Kumaradasa M.V.,0.33102783173734557,Wellawaya Police Station,0.24744200989014364,Wellawaya Base Hospital,0.22373581270116275,Wellawaya town,0.2109002800278298,386.04,26.49,10.6
lcn_095,wellawaya,6.734774992,81.10223965,600,104.1,36.476603119584055,Wellawaya Kumaradasa M.V.,0.4446252483292759,Wellawaya Police Station,0.4812624934378231,Wellawaya Base Hospital,0.43976099724289275,Wellawaya town,0.06098836065434358,386.04,26.49,10.6
lcn_096,wellawaya,6.737145599,81.11845885,450,104.1,36.476603119584055,Malwaththawala National School,0.3271937822005358,Wellawaya Police Station,2.2833869798079736,Handapanagala Divisional Hospital,1.461466793982305,Wellawaya town,1.8507614503852816,386.04,26.49,10.6
lcn_097,wellawaya,6.739161767,81.11142649,900,104.1,36.476603119584055,Mahawelamulla Muslim Maha vidyalaya,0.3580000289840927,Wellawaya Police Station,1.4975770823815133,Wellawaya Base Hospital,1.4676628267750893,Wellawaya town,1.0705246190208069,386.04,26.49,10.6
lcn_098,wellawaya,6.743616294,81.1010952,400,104.1,36.476603119584055,Wellawaya Kumaradasa M.V.,0.246534873306732,Wellawaya Police Station,0.3484172877323202,Wellawaya Base Hospital,0.37559305622428446,Wellawaya town,0.22023944105597074,386.04,26.49,10.6
lcn_099,wellawaya,6.737897016,81.11466415,600,104.1,36.476603119584055,Malwaththawala National School,0.1078605689682018,Wellawaya Police Station,1.8594566270435842,Handapanagala Divisional Hospital,1.4615144928068582,Wellawaya town,1.428522580268823,386.04,26.49,10.6
lcn_100,wellawaya,6.715893917,81.10764771,450,104.1,36.476603119584055,Yalabowa Primary School,0.10641907627459056,Wellawaya Police Station,1.155377073665926,Wellawaya Base Hospital,1.0719309811097784,Wellawaya town,0.6990156979974891,386.04,26.49,10.6
